0.0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,2
0.06,2
0.07,4
0.08,6
0.09,20
0.1,44
0.11,46
0.12,70
0.13,70
0.14,88
0.15,84
0.16,92
0.17,94
0.18,94
0.19,98
0.2,100
0.21,100
0.22,100
0.23,100
0.24,100
0.25,100
0.26,100
0.27,100
0.28,100
0.29,100
0.3,100
0.31,100
0.32,100
0.33,100
0.34,100
0.35,100
0.36,100
0.37,100
0.38,100
0.39,100
0.4,100
0.41,100
0.42,100
0.43,100
0.44,100
0.45,100
0.46,100
0.47,100
0.48,100
0.49,100
0.5,100
0.51,100
0.52,100
0.53,100
0.54,100
0.55,100
0.56,100
0.57,100
0.58,100
0.59,100
0.6,100
0.61,100
0.62,100
0.63,100
0.64,100
0.65,100
0.66,100
0.67,100
0.68,100
0.69,100
0.7,100
0.71,100
0.72,100
0.73,100
0.74,100
0.75,100
0.76,100
0.77,100
0.78,100
0.79,100
0.8,100
0.81,100
0.82,100
0.83,100
0.84,100
0.85,100
0.86,100
0.87,100
0.88,100
0.89,100
0.9,100
0.91,100
0.92,100
0.93,100
0.94,100
0.95,100
0.96,100
0.97,100
0.98,100
0.99,100
1.0,100
